 'Diode' 14 05 1 
     0   0.000
     1   0.181 
     5   0.25
    10   0.288
    20   0.318
    30   0.363
    40   0.394
    50   0.424
    60   0.4697
    90   0.5606
   100   0.6061
   200   0.9091
   300   1.235
   400   1.576
